Variable Information,,,,,,,,,
Variable,Position,Label,Measurement Level,Role,Column Width,Alignment,Print Format,Write Format,
partyfav_safrica_eff,143,"Q7ZAFc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? c. EFF (Economic Freedom Fighters)",Nominal,Input,22,Right,F2,F2,
partyfav_spain_pp,144,"Q7ESPa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? a. People's Party (PP)",Nominal,Input,19,Right,F2,F2,
partyfav_spain_psoe,145,"Q7ESPb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? b. Spanish Socialist Workers' Party (PSOE)",Nominal,Input,21,Right,F2,F2,
partyfav_spain_podemos,146,"Q7ESPc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? c. We can (Podemos)",Nominal,Input,24,Right,F2,F2,
partyfav_spain_vox,147,"Q7ESPd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? d. Vox",Nominal,Input,20,Right,F2,F2,
partyfav_srilanka_slfp,148,"Q7LKAa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of…? a. Sri Lanka Freedom Party (SLFP)",Scale,Input,24,Right,F2,F2,
partyfav_srilanka_sjb,149,"Q7LKAb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? b. Samagi Jana Balawegaya (SJB)",Nominal,Input,23,Right,F2,F2,
partyfav_srilanka_unp,150,"Q7LKAc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? c. United National Party (UNP)",Nominal,Input,23,Right,F2,F2,
partyfav_srilanka_puf,151,"Q7LKAd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? d. Mahajana Eksath Peramuna  (People's United Front)",Nominal,Input,23,Right,F2,F2,
partyfav_srilanka_slpp,152,"Q7LKAe. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? e. Sri Lanka Podujana Peramuna (SLPP)",Nominal,Input,24,Right,F2,F2,
partyfav_srilanka_jvp,153,"Q7LKAf. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of…? f. Janatha Vimukthi Peramuna (JVP)",Scale,Input,23,Right,F2,F2,
partyfav_sweden_sap,154,"Q7SWEa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? a. Swedish Social Democratic Party (SAP)",Nominal,Input,21,Right,F2,F2,
partyfav_sweden_moderateparty,155,"Q7SWEb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? b. Moderate Party (M)",Nominal,Input,31,Right,F2,F2,
partyfav_sweden_swedendems,156,"Q7SWEc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? c. Sweden Democrats (SD)",Nominal,Input,28,Right,F2,F2,
partyfav_thailand_pp,157,"Q7THAa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? a. Palang Pracharath Party",Nominal,Input,22,Right,F2,F2,
partyfav_thailand_ptp,158,"Q7THAb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? b. Pheu Thai Party",Nominal,Input,23,Right,F2,F2,
partyfav_thailand_dp,159,"Q7THAc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? c. Democrat Party",Nominal,Input,22,Right,F2,F2,
partyfav_thailand_mfp,160,"Q7THAd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of ...? d. Move Forward Party",Nominal,Input,23,Right,F2,F2,
partyfav_turkey_akp,161,"Q7TURa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? a. Justice and Development Party - AKP",Nominal,Input,8,Right,F2,F2,
partyfav_turkey_chp,162,"Q7TURb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? b. Republican People’s Party - CHP",Nominal,Input,8,Right,F2,F2,
partyfav_turkey_mhp,163,"Q7TURc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? c. Nationalist Movement Party - MHP",Nominal,Input,8,Right,F2,F2,
partyfav_turkey_iyi,164,"Q7TURd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? d. Good Party - IYI",Nominal,Input,8,Right,F2,F2,
partyfav_turkey_ysp,165,"Q7TURe. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? e. Green Left Party - YSP",Nominal,Input,21,Right,F2,F2,
partyfav_uk_conservative,166,"Q7GBRa. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? a. The Conservative Party",Nominal,Input,26,Right,F2,F2,
partyfav_uk_labour,167,"Q7GBRb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? b. The Labour Party",Nominal,Input,20,Right,F2,F2,
partyfav_uk_libdems,168,"Q7GBRc. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? c. The Liberal Democrats",Nominal,Input,21,Right,F2,F2,
partyfav_uk_brexit,169,"Q7GBRd. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable or very unfavorable opinion of…? d. Reform UK (The Brexit Party)",Nominal,Input,20,Right,F2,F2,
fav_mazen,170,"Q7Na. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of ...? a. Abu Mazen",Ordinal,Input,8,Right,F8,F8,
fav_barghouti,171,"Q7Nb. Please tell me if you have a very favorable, somewhat favorable, somewhat unfavorable, or very unfavorable opinion of ...? b. Marwan Barghouti",Ordinal,Input,8,Right,F8,F8,
confid_biden,172,"Q8a. Tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all? a. U.S. President Joe Biden",Nominal,Input,14,Right,F2,F2,
confid_biden_dk,173,Q8AUSa. How much confidence do you have in each of the following leaders to do the right thing regarding world affairs? a. U.S. President Joe Biden,Nominal,Input,8,Right,F3,F3,
confid_trump,174,"Q8b. Tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all? b. Former U.S. President Donald Trump",Nominal,Input,14,Right,F2,F2,
confid_trump_dk,175,Q8AUSb. How much confidence do you have in each of the following leaders to do the right thing regarding world affairs? b. Former U.S. President Donald Trump,Nominal,Input,8,Right,F3,F3,
confid_xi,176,"Q8c. Tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all? c. Chinese President Xi Jinping",Nominal,Input,11,Right,F2,F2,
confid_xi_dk,177,Q8AUSc. How much confidence do you have in each of the following leaders to do the right thing regarding world affairs? c. Chinese President Xi Jinping,Nominal,Input,8,Right,F3,F3,
confid_putin,178,"Q8d. Tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all? d. Russian President Vladimir Putin",Nominal,Input,14,Right,F2,F2,
confid_putin_dk,179,Q8AUSd. How much confidence do you have in each of the following leaders to do the right thing regarding world affairs? d. Russian President Vladimir Putin,Nominal,Input,8,Right,F3,F3,
confid_macron,180,"Q8e. Tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all? e. French President Emmanuel Macron",Nominal,Input,15,Right,F2,F2,
confid_macron_dk,181,Q8AUSe. How much confidence do you have in each of the following leaders to do the right thing regarding world affairs? e. French President Emmanuel Macron,Nominal,Input,8,Right,F3,F3,
confid_zelenskyy,182,"Q8f. Tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all? f. Ukrainian President Volodymyr Zelenskyy",Nominal,Input,18,Right,F2,F2,
confid_zelenskyy_dk,183,Q8AUSf. How much confidence do you have in each of the following leaders to do the right thing regarding world affairs? f. Ukrainian President Volodymyr Zelenskyy,Nominal,Input,8,Right,F3,F3,
confid_lula,184,"Q8g. Tell me how much confidence you have in each leader to do the right thing regarding world affairs - a lot of confidence, some confidence, not too much confidence, or no confidence at all? g. Brazilian President Luiz Inácio Lula da Silva",Nominal,Input,13,Right,F2,F2,
uspres_econ,185,"Q9a. Thinking about U.S. President Joe Biden, do you strongly approve, somewhat approve, somewhat disapprove or strongly disapprove of the way he is...? a. Dealing with global economic problems",Nominal,Input,13,Right,F2,F2,
uspres_climate,186,"Q9b. Thinking about U.S. president Joe Biden, do you strongly approve, somewhat approve, somewhat disapprove or strongly disapprove of the way he is...? b. Dealing with climate change",Nominal,Input,16,Right,F2,F2,
uspres_china,187,"Q9c. Thinking about U.S. President Joe Biden, do you strongly approve, somewhat approve, somewhat disapprove or strongly disapprove of the way he is…? c. Dealing with China",Nominal,Input,14,Right,F2,F2,
uspres_rusukr,188,"Q9d. Thinking about U.S. President Joe Biden, do you strongly approve, somewhat approve, somewhat disapprove or strongly disapprove of the way he is…? d. Dealing with the conflict between Russia and Ukraine",Nominal,Input,15,Right,F2,F2,
uspres_isrhamas,189,"Q9e. Thinking about U.S. President Joe Biden, do you strongly approve, somewhat approve, somewhat disapprove or strongly disapprove of the way he is…? e. Dealing with the conflict between Israel and Hamas",Nominal,Input,17,Right,F2,F2,
prob_rich_poor,190,"Q10a. Please tell me if you think this is a very big problem in (survey country), a moderately big problem, a small problem, or not a problem at all? a. The gap between the rich and the poor",Nominal,Input,16,Right,F2,F2,
prob_gen_unequal,191,"Q10b. Please tell me if you think this is a very big problem in (survey country), a moderately big problem, a small problem, or not a problem at all? b. Unequal rights for men and women",Nominal,Input,18,Right,F2,F2,
prob_racediscrim,192,"Q10c. Please tell me if you think this is a very big problem in (survey country), a moderately big problem, a small problem, or not a problem at all? c. Discrimination against people based on their (race or ethnicity)",Nominal,Input,18,Right,F2,F2,
prob_reldiscrim,193,"Q10d. Please tell me if you think this is a very big problem in (survey country), a moderately big problem, a small problem, or not a problem at all? d. Discrimination against people based on their religion",Nominal,Input,17,Right,F2,F2,
prob_misinformation,194,"Q11. How much of a problem do you think made-up news and information is in (survey country) today - a very big problem, a moderately big problem, a small problem, or not a problem at all?",Nominal,Input,21,Right,F2,F2,
press_freedom,195,"Q12a. How important is it to have each of the following in our country - very important, somewhat important, not too important or not important at all? a. The media can report the news without (state or government) censorship",Nominal,Input,15,Right,F2,F2,
free_speech,196,"Q12b. How important is it to have each of the following in our country - very important, somewhat important, not too important or not important at all? b. People can say what they want without (state or government) censorship",Nominal,Input,13,Right,F2,F2,
internet_freedom,197,"Q12c. How important is it to have each of the following in our country - very important, somewhat important, not too important or not important at all? c. People can use the internet without (state or government) censorship",Nominal,Input,18,Right,F2,F2,
free_press,198,Q13a. And in (survey country) …? a. How free is the media to report the news,Nominal,Input,12,Right,F2,F2,
free_say,199,Q13b. And in (survey country) …? b. How free are people to say what they want,Nominal,Input,10,Right,F2,F2,
free_internet,200,Q13c. And in (survey country) …? c. How free are people to use the internet,Nominal,Input,15,Right,F2,F2,
inequality_merit,201,"Q14a. How much, if at all, do you think each of the following things leads to economic inequality in (survey country)? a. That some people work harder than others",Nominal,Input,18,Right,F2,F2,
inequality_opp,202,"Q14b. How much, if at all, do you think each of the following things leads to economic inequality in (survey country)? b. That some people are born with more opportunities than others",Nominal,Input,16,Right,F2,F2,
inequality_discrim,203,"Q14c. How much, if at all, do you think each of the following things leads to economic inequality in (survey country)? c. Discrimination against (racial or ethnic) minorities",Nominal,Input,20,Right,F2,F2,
inequality_automation,204,"Q14d. How much, if at all, do you think each of the following things leads to economic inequality in (survey country)? d. Robots and computers doing work previously done by humans",Nominal,Input,23,Right,F2,F2,
inequality_edu,205,"Q14e. How much, if at all, do you think each of the following things leads to economic inequality in (survey country)? e. Problems with our education system",Nominal,Input,16,Right,F2,F2,
inequality_rich,206,"Q14f. How much, if at all, do you think each of the following things leads to economic inequality in (survey country)? f. Rich people have too much political influence",Nominal,Input,17,Right,F2,F2,
econsys_reform,207,"Q15. Thinking about (survey country), would you say the economic system needs to be completely reformed, needs major changes, needs minor changes, or doesn’t need to be changed?",Nominal,Input,16,Right,F2,F2,
trust_people,208,Q16. Which of the following comes closer to your view?,Nominal,Input,14,Right,F2,F2,
trust_gss,209,Q17. Which of the following statements comes closer to your view?,Nominal,Input,11,Right,F2,F2,
religion_combined,210,Q18a. Religion - combined. NOT FOR POINT ESTIMATES. Only groups with sufficient sample size to report on separately are populated. Includes recoded open-end responses. Refer to questionnaire appendix A for country-specific question wording.,Nominal,Input,21,Right,F8.2,F8.2,
religion_christian,211,Q18b. Religion - Christians. NOT FOR POINT ESTIMATES. Only groups with sufficient sample size to report on separately are populated. Includes open-end responses. Refer to questionnaire appendix A for country-specific question wording.,Nominal,Input,22,Right,F8.2,F8.2,
religion_none,212,Q18c. Religion - None. NOT FOR POINT ESTIMATES. Only groups with sufficient sample size to report on separately are populated. Includes open-end responses. Refer to questionnaire appendix A for country-specific question wording.,Nominal,Input,17,Right,F8.2,F8.2,
religion_israel_jewish,213,Q18ISR. [ASK IF JEWISH] How would you define yourself religiously?,Nominal,Input,23,Right,F2,F2,
christdenom_pent,214,"Q19. [ASK IF CHRISTIAN] Would you describe yourself as Pentecostal, or not?",Nominal,Input,18,Right,F2,F2,
prot_church,215,Q20. [ASK IF PROTESTANT] Do you belong to …?,Nominal,Input,13,Right,F2,F2,
religion_switch,216,Q21. Religion - Switching. Indicates whether a person belongs to a different religion than the one they were raised in as a child. Refer to questionnaire appendix A for country-specific question wording.,Nominal,Input,27,Right,F8.2,F8.2,
religion_switch_jewish,217,Q21ISR. Religion - Switching within Jewish groups in Israel. Indicates whether a person belongs to a different Jewish group than the one they were raised in as a child. Refer to questionnaire appendix A for country-specific question wording.,Nominal,Input,27,Right,F8.2,F8.2,
religion_import,218,"Q23. How important is religion in your life: very important, somewhat important, not too important or not at all important?",Nominal,Input,17,Right,F2,F2,
attend,219,Q24. Attendance at religious services. Refer to questionnaire appendix B for specific question wording.,Nominal,Input,8,Right,F2,F2,
pray_freq,220,"Q25. Outside of attending religious services, do you pray several times a day, once a day, a few times a week, once a week, a few times a month, less often than that, OR never?",Nominal,Input,11,Right,F2,F2,
pray_salah,221,"Q26. [ASK IF MUSLIM AND pray_freq = 1] Do you pray all five Salah every day, or not?",Nominal,Input,12,Right,F2,F2,
god,222,"Q27. Do you believe in God, or not?",Nominal,Input,5,Right,F2,F2,
aftdth,223,Q28. Which of the following options comes closest to your views about life after death?,Nominal,Input,8,Right,F2,F2,
spirenergy_nature,224,"Q29a. Do you believe each of the following things can have spirits or spiritual energies? a. Parts of nature, like mountains, rivers or trees",Nominal,Input,19,Right,F2,F2,
spirenergy_objects,225,"Q29b. Do you believe each of the following things can have spirits or spiritual energies? b. Certain objects, like crystals, jewels or stones",Nominal,Input,20,Right,F2,F2,
spirenergy_animals,226,Q29c. Do you believe each of the following things can have spirits or spiritual energies? c. Animals,Nominal,Input,20,Right,F2,F2,
believe_spells,227,"Q30a. Do you believe each of the following, or not? a. That spells, curses or other magic can influence people’s lives",Nominal,Input,16,Right,F2,F2,
believe_spirits,228,Q30b. Do you believe each of the following or not? b. That the spirits of ancestors can help or harm you,Nominal,Input,17,Right,F2,F2,
believe_reinc,229,Q30c. Do you believe each of the following or not? c. In reincarnation – that people will be reborn in this world again and again,Nominal,Input,15,Right,F2,F2,
practice_fast,230,"Q31a. Do you do each of the following practices, or not? a. Fast for certain periods during holy times",Nominal,Input,15,Right,F2,F2,
practice_wear,231,"Q31b. Do you do each of the following practices, or not? b. Wear religious items or symbols, or carry them with you",Nominal,Input,15,Right,F2,F2,
practice_future,232,"Q31c. Do you do each of the following practices, or not? c. Consult a fortune teller, horoscope or other way to see the future",Nominal,Input,17,Right,F2,F2,
practice_candles,233,"Q31d. Do you do each of the following practices, or not? d. Light incense or candles for spiritual or religious reasons",Nominal,Input,18,Right,F2,F2,
spirworld,234,"Q32. Which statement comes closer to your view, even if neither is exactly right?",Nominal,Input,11,Right,F2,F2,
relimpact_society,235,"Q33a. Which statement comes closer to your view, even if neither is exactly right?",Scale,Input,19,Right,F2,F2,
relimpact_tolerance,236,"Q33b. Which statement comes closer to your view, even if neither is exactly right?",Scale,Input,21,Right,F2,F2,
relimpact_superstition,237,"Q33c. Which statement comes closer to your view, even if neither is exactly right?",Nominal,Input,24,Right,F2,F2,
nationality_relig1,238,Q34/Q36a. How important do you think it is to be a (dominant religion) to be truly (survey country nationality)?,Nominal,Input,20,Right,F2,F2,
nationality_relig2,239,Q35. How important do you think it is to be a (2nd dominant religion) to be truly (survey country nationality)?,Nominal,Input,20,Right,F2,F2,
nationality_born,240,Q36b. How important do you think each of the following is for being truly (survey country nationality)? b. To have been born in (survey country),Nominal,Input,18,Right,F2,F2,
nationality_custom,241,Q36c. How important do you think each of the following is for being truly (survey country nationality)? c. To share (survey country nationality) customs and traditions,Nominal,Input,20,Right,F2,F2,
nationality_lang,242,Q36d. How important do you think each of the following is for being truly (survey country nationality)? d. To be able to speak (survey country language),Nominal,Input,18,Right,F2,F2,
nationality_tamil,243,Q36e. How important do you think each of the following is for being truly (survey country nationality)? e. To be able to speak Tamil,Nominal,Input,19,Right,F2,F2,
leaderrel_shared,244,Q37a. How important is it to you to have a (leader) of (survey country) who has the following qualities? a. Has religious beliefs that are the same as your own,Nominal,Input,18,Right,F2,F2,
leaderrel_strong,245,"Q37b. How important is it to you to have a (leader) of (survey country) who has the following qualities? b. Has strong religious beliefs, even if they are different from your own",Nominal,Input,18,Right,F2,F2,
leaderrel_stands,246,Q37c. How important is it to you to have a (leader) of (survey country) who has the following qualities? c. Stands up for people with your religious beliefs,Nominal,Input,18,Right,F2,F2,
reltextinfl,247,Q38. How much influence do you think (dominant religion’s primary religious text) should have on the laws of (survey country)?,Nominal,Input,13,Right,F2,F2,
relconf,248,"Q39. [ASK IF reltextinfl = 1, 2] When (dominant religion’s primary religious text) and the will of the people conflict with each other, which do you think should have more influence on the laws of (survey country)?",Nominal,Input,9,Right,F2,F2,
reltextinfl2,249,Q40. How much influence do you think (2nd dominant religion’s primary religious text) should have on the laws of (survey country)?,Nominal,Input,14,Right,F2,F2,
relconf2,250,"Q41. [ASK IF reltextinfl2 = 1, 2] When (2nd dominant religion’s primary religious text) and the will of the people conflict with each other, which do you think should have more influence on the laws of (survey country)?",Nominal,Input,10,Right,F2,F2,
rellawinftoday,251,"Q42. Regardless of how much influence you think it SHOULD have, how much influence do you think (dominant religion’s primary religious text) has on the laws of (survey country) TODAY?",Nominal,Input,16,Right,F2,F2,
rellawinftoday2,252,"Q43. Regardless of how much influence you think it SHOULD have, how much influence do you think (2nd dominant religion’s primary religious text) has on the laws of (survey country) TODAY?",Nominal,Input,17,Right,F2,F2,
f2flaw_muslim,253,"Q44a. [ASK IF MUSLIM] Do you strongly favor, somewhat favor, somewhat oppose or strongly oppose making sharia the official law for Muslims in (survey country)?",Nominal,Input,15,Right,F2,F2,
f2flaw_jew,254,"Q44b. [ASK IF JEWISH] Do you strongly favor, somewhat favor, somewhat oppose or strongly oppose making halakha the state law for Jews in (survey country)?",Nominal,Input,12,Right,F2,F2,
relten,255,"Q45. In your opinion, can (survey country) be both a (dominant religion of survey country; IN NIGERIA: Muslim) state and a democratic state, or not?",Nominal,Input,8,Right,F2,F2,
pope_change,256,"Q46. Do you think Pope Francis represents a MAJOR change in direction for the Catholic Church, a MINOR change in direction for the Catholic Church, or no change at all?",Nominal,Input,13,Right,F2,F2,
cchurch_priestsmarry,257,Q47a. [ASK IF CATHOLIC] Do you think the Catholic Church should or should not …? a. Allow priests to get married,Nominal,Input,22,Right,F2,F2,
cchurch_priestswomen,258,Q47b. [ASK IF CATHOLIC] Do you think the Catholic Church should or should not …? b. Allow women to become priests,Nominal,Input,22,Right,F2,F2,
cchurch_birthcontrol,259,Q47c. [ASK IF CATHOLIC] Do you think the Catholic Church should or should not …? c. Allow Catholics to use birth control,Nominal,Input,22,Right,F2,F2,
cchurch_ssm,260,Q47d. [ASK IF CATHOLIC] Do you think the Catholic Church should or should not …? d. Recognize the marriages of gay and lesbian couples,Nominal,Input,13,Right,F2,F2,
cchurch_communion,261,Q47e. [ASK IF CATHOLIC] Do you think the Catholic Church should or should not …? e. Allow Catholics to take communion even if they are unmarried and living with a romantic partner,Nominal,Input,19,Right,F2,F2,
usdemocracy_example,262,"Q48. Which statement comes closest to your view, even if none are exactly right? Democracy in the United States …",Nominal,Input,21,Right,F2,F2,
brderjob,263,"Q57. How would you rate the job the U.S. government is doing dealing with the large number of people seeking asylum at the U.S. border with Mexico – a very good job, a somewhat good job, a somewhat bad job, or a very bad job?",Nominal,Input,10,Right,F2,F2,
brderjob_mex,264,"Q58. How would you rate the job the Mexican government is doing dealing with the large number of people seeking asylum at the U.S. border with Mexico – a very good job, a somewhat good job, a somewhat bad job, or a very bad job?",Nominal,Input,14,Right,F2,F2,
china_influ_econ,265,"Q59. How much influence do you think China is having on economic conditions in (survey country) – a great deal of influence, a fair amount of influence, not too much influence, or no influence at all?",Nominal,Input,18,Right,F2,F2,
china_influ_econ2,266,"Q60. [ASK IF china_influ_econ = 1, 2, 3] Right now, is China having a positive or negative impact on economic conditions in (survey country)?",Nominal,Input,19,Right,F2,F2,
china_influ_econ2_aus,267,"Q60AUS. [ASK IF china_influ_econ = 1, 2, 3] Right now, is China having a positive or negative impact on economic conditions in Australia?",Nominal,Input,8,Right,F3,F3,
cco_economy,268,"Q61a. How well do each of the following statements describe Chinese companies operating in (survey country) - very well, somewhat well, not too well or not well at all? a. They are good for the economy",Nominal,Input,13,Right,F2,F2,
cco_workers,269,"Q61b. How well do each of the following statements describe Chinese companies operating in (survey country) - very well, somewhat well, not too well or not well at all? b. They treat local workers fairly",Nominal,Input,13,Right,F2,F2,
cco_environment,270,"Q61c. How well do each of the following statements describe Chinese companies operating in (survey country) - very well, somewhat well, not too well or not well at all? c. They work to protect the environment",Nominal,Input,17,Right,F2,F2,
china_worldstability,271,"Q62a. In general, to what extent do you think each of the following countries contributes to peace and stability around the world – a great deal, a fair amount, not too much, or not at all? a. China",Nominal,Input,22,Right,F2,F2,
india_worldstability,272,"Q62b. In general, to what extent do you think each of the following countries contributes to peace and stability around the world – a great deal, a fair amount, not too much, or not at all? b. India",Nominal,Input,22,Right,F2,F2,
japan_worldstability,273,"Q62c. In general, to what extent do you think each of the following countries contributes to peace and stability around the world – a great deal, a fair amount, not too much, or not at all? c. Japan",Nominal,Input,22,Right,F2,F2,
aus_worldstability,274,"Q62d. In general, to what extent do you think each of the following countries contributes to peace and stability around the world – a great deal, a fair amount, not too much, or not at all? d. Australia",Nominal,Input,20,Right,F2,F2,
us_worldstability,275,"Q62e. In general, to what extent do you think each of the following countries contributes to peace and stability around the world? e. The United States",Nominal,Input,8,Right,F3,F3,
china_disputes,276,"Q63. How concerned are you, if at all, about territorial disputes between China and neighboring countries – very concerned, somewhat concerned, not too concerned or not at all concerned?",Nominal,Input,16,Right,F2,F2,
china_disputes_aus,277,"Q63AUS. How concerned are you, if at all, about territorial disputes between China and neighboring countries?",Nominal,Input,8,Right,F3,F3,
growinflu_brazil,278,"Q64. Would you say Brazil's influence in the world in recent years has been getting stronger, getting weaker or staying about the same?",Nominal,Input,18,Right,F2,F2,
powerful_brazil,279,Q65. Which of the following statements comes closest to your view?,Nominal,Input,17,Right,F2,F2,
bestage_marry,280,"Q66a. In your opinion, what is the best age to do each of the following things? a. Get married",Nominal,Input,15,Right,F2,F2,
bestage_marry_aus,281,"Q66AUSa. In your opinion, what is the best age to ...? a. Get married",Scale,Input,8,Right,F11,F11,
bestage_child,282,"Q66b. In your opinion, what is the best age to do each of the following things? b. Have your first child",Nominal,Input,15,Right,F2,F2,
bestage_child_aus,283,"Q66AUSb. In your opinion, what is the best age to ...? b. Have your first child",Scale,Input,8,Right,F11,F11,
bestage_house,284,"Q66c. In your opinion, what is the best age to do each of the following things? c. Buy a home",Nominal,Input,15,Right,F2,F2,
bestage_house_aus,285,"Q66AUSc. In your opinion, what is the best age to ...? c. Buy a home",Scale,Input,8,Right,F11,F11,
bestage_retire,286,"Q66d. In your opinion, what is the best age to do each of the following things? d. Retire",Nominal,Input,16,Right,F2,F2,
bestage_retire_aus,287,"Q66AUSd. In your opinion, what is the best age to ...? d. Retire",Scale,Input,8,Right,F11,F11,
child_gay,288,"Q67a. Suppose you had a child who did each of the following things, how would you feel? Comfortable, uncomfortable, or neither comfortable nor uncomfortable? a. Came out as gay or lesbian",Nominal,Input,11,Right,F2,F2,
child_marryrace,289,"Q67b. Suppose you had a child who did each of the following things, how would you feel? Comfortable, uncomfortable, or neither comfortable nor uncomfortable? b. Married someone who is a different (race or ethnicity)",Nominal,Input,17,Right,F2,F2,
child_marryreligion,290,"Q67c. Suppose you had a child who did each of the following things, how would you feel? Comfortable, uncomfortable, or neither comfortable nor uncomfortable? c. Married someone who has different religious beliefs",Nominal,Input,21,Right,F2,F2,
child_move,291,"Q67d. Suppose you had a child who did each of the following things, how would you feel? Comfortable, uncomfortable, or neither comfortable nor uncomfortable? d. Moved far from home for a job",Nominal,Input,12,Right,F2,F2,
child_police,292,"Q67e. Suppose you had a child who did each of the following things, how would you feel? Comfortable, uncomfortable, or neither comfortable nor uncomfortable? e. Became a police officer",Nominal,Input,14,Right,F2,F2,
child_teacher,293,"Q67f. Suppose you had a child who did each of the following things, how would you feel? Comfortable, uncomfortable, or neither comfortable nor uncomfortable? f. Became a schoolteacher",Nominal,Input,15,Right,F2,F2,
value_law,294,"Q68a. Would you say each of the following is an essential value for (survey country), an important, but not essential value, or not an important value? a. Respecting the laws of (survey country)",Nominal,Input,11,Right,F2,F2,
value_work,295,"Q68b. Would you say each of the following is an essential value for (survey country), an important, but not essential value, or not an important value? b. Working hard",Nominal,Input,12,Right,F2,F2,
value_elders,296,"Q68c. Would you say each of the following is an essential value for (survey country), an important, but not essential value, or not an important value? c. Respecting elders",Nominal,Input,14,Right,F2,F2,
value_refugees,297,"Q68d. Would you say each of the following is an essential value for (survey country), an important, but not essential value, or not an important value? d. Taking in immigrants and refugees",Nominal,Input,8,Right,F1,F1,
value_tol,298,"Q68e. Would you say each of the following is an essential value for (survey country), an important, but not essential value, or not an important value? e. Being tolerant of people’s different races and religions",Nominal,Input,11,Right,F2,F2,
value_equality,299,"Q68f. Would you say each of the following is an essential value for (survey country), an important, but not essential value, or not an important value? f. Ensuring everyone has an equal chance of success",Nominal,Input,16,Right,F2,F2,
value_gender,300,"Q68g. Would you say each of the following is an essential value for (survey country), an important, but not essential value, or not an important value? g. Ensuring men and women have equal rights",Nominal,Input,14,Right,F2,F2,
eval_law,301,"Q69a. Do you think (survey country) is generally doing very well, somewhat well, somewhat poorly or very poorly when it comes to living up to these values? a. Respecting the laws of (survey country)",Nominal,Input,10,Right,F2,F2,
eval_work,302,"Q69b. Do you think (survey country) is generally doing very well, somewhat well, somewhat poorly or very poorly when it comes to living up to these values? b. Working hard",Nominal,Input,11,Right,F2,F2,
eval_elders,303,"Q69c. Do you think (survey country) is generally doing very well, somewhat well, somewhat poorly or very poorly when it comes to living up to these values? c. Respecting elders",Nominal,Input,13,Right,F2,F2,
eval_refugees,304,"Q69d. Do you think (survey country) is generally doing very well, somewhat well, somewhat poorly or very poorly when it comes to living up to these values? d. Taking in immigrants and refugees",Nominal,Input,8,Right,F1,F1,
